iter	Passed	Remaining
0	0	110
1	1	112
2	1	112
3	2	110
4	2	112
5	3	110
6	3	109
7	4	110
8	5	113
9	5	112
10	6	113
11	7	111
12	7	110
13	8	109
14	8	109
15	9	110
16	10	109
17	10	108
18	11	107
19	11	107
20	12	105
21	13	105
22	13	104
23	14	104
24	14	104
25	15	103
26	16	102
27	16	101
28	17	102
29	17	101
30	18	100
31	19	100
32	19	99
33	20	99
34	20	98
35	21	97
36	22	97
37	22	96
38	23	95
39	23	95
40	24	94
41	25	94
42	25	94
43	26	93
44	26	92
45	27	92
46	28	91
47	28	91
48	29	90
49	30	90
50	30	89
51	31	89
52	31	88
53	32	87
54	33	87
55	33	86
56	34	85
57	34	85
58	35	84
59	36	84
60	36	83
61	37	83
62	38	82
63	38	82
64	39	82
65	40	81
66	40	80
67	41	80
68	41	79
69	42	78
70	43	78
71	43	77
72	44	76
73	44	76
74	45	75
75	46	75
76	46	74
77	47	74
78	47	73
79	48	72
80	48	71
81	49	71
82	50	70
83	50	70
84	51	69
85	51	68
86	53	69
87	53	68
88	54	67
89	54	67
90	55	66
91	56	65
92	56	65
93	57	64
94	58	64
95	58	63
96	59	62
97	59	62
98	60	61
99	61	61
100	61	60
101	62	59
102	62	59
103	63	58
104	64	58
105	64	57
106	65	56
107	66	56
108	66	55
109	67	55
110	68	54
111	68	53
112	69	53
113	70	52
114	70	52
115	71	51
116	71	50
117	72	50
118	73	49
119	73	49
120	74	48
121	75	48
122	75	47
123	76	46
124	77	46
125	77	45
126	78	44
127	78	44
128	79	43
129	80	43
130	80	42
131	81	41
132	82	41
133	82	40
134	83	40
135	83	39
136	84	38
137	85	38
138	85	37
139	86	37
140	86	36
141	87	35
142	88	35
143	88	34
144	89	33
145	89	33
146	90	32
147	91	31
148	91	31
149	92	30
150	92	30
151	94	29
152	94	29
153	95	28
154	96	27
155	96	27
156	97	26
157	97	26
158	98	25
159	99	24
160	99	24
161	100	23
162	100	22
163	101	22
164	102	21
165	102	21
166	103	20
167	103	19
168	104	19
169	105	18
170	105	17
171	106	17
172	107	16
173	107	16
174	108	15
175	109	14
176	109	14
177	110	13
178	110	13
179	111	12
180	112	11
181	112	11
182	113	10
183	113	9
184	114	9
185	115	8
186	115	8
187	116	7
188	116	6
189	117	6
190	118	5
191	118	4
192	119	4
193	120	3
194	120	3
195	121	2
196	121	1
197	122	1
198	123	0
199	123	0
